sku,brand,category_id,category_name,reviews_count,rating_raw,rating_smoothed,base_score,final_score__soft,final_score__balanced,final_score__strict,final_score__very_strict
JBL Charge 5 (JBLCHARGE5TEAL),JBL,76,Портативні колонки,126,4.515873015873016,4.5162264968582235,4.5162264968582235,4.434199828762207,4.303851294860635,3.981922400838645,3.6203320365987572
JBL Clip 4 (JBLCLIP4BLU),JBL,76,Портативні колонки,74,4.918918918918919,4.833713495120219,4.833713495120219,4.763696666697427,4.65182392485269,4.366389342955537,4.045244146975734
JBL Flip 5 (JBLFLIP5BLKEU),JBL,76,Портативні колонки,19,4.842105263157895,4.676129962597449,4.676129962597449,4.676129962597449,4.676129962597449,4.676129962597449,4.676129962597449
JBL Flip 6 (JBLFLIP6SQUAD) [69512],JBL,76,Портативні колонки,100,4.61,4.594742237844171,4.594742237844171,4.517656641215128,4.392975479167248,4.079031179081928,3.7216943319420954
JBL Flip Essential 2 (JBLFLIPES2),JBL,76,Портативні колонки,34,4.588235294117647,4.5623901581722315,4.5623901581722315,4.486946010996299,4.369465590190854,4.0781965199692545,3.7570769198824925
JBL Go 3 (JBLGO3BLUP),JBL,76,Портативні колонки,388,4.824742268041237,4.809728109169854,4.809728109169854,4.735645904790708,4.61862814855123,4.325359552363685,3.9981598227616466
JBL Xtreme 3 (JBLXTREME3CAMOEU),JBL,76,Портативні колонки,4,5.0,4.598711189220856,4.598711189220856,4.598711189220856,4.598711189220856,4.598711189220856,4.598711189220856
Lenovo Idea Tab Plus Wi-Fi 8/256GB,Lenovo,225,Планшети,92,4.75,4.713902640264026,4.713902640264026,4.669060876414702,4.595212596512336,4.388443933718638,4.152010124982701
Lenovo Idea Tab Pro 8/256GB,Lenovo,225,Планшети,13,4.846153846153846,4.665366536653665,4.665366536653665,4.585452576322699,4.4588726453730505,4.144924978218919,3.9096656959211957
Lenovo Idea Tab Pro Wi-Fi 12/256GB,Lenovo,225,Планшети,12,4.916666666666667,4.686159240924092,4.686159240924092,4.686159240924092,4.686159240924092,4.686159240924092,4.686159240924092
Lenovo Idea Tab Wi-Fi 8/128GB,Lenovo,225,Планшети,4,3.25,4.331545654565456,4.331545654565456,4.331545654565456,4.331545654565456,4.331545654565456,4.331545654565456
Lenovo Legion Tab (3rd Gen) Wi-Fi 16/512GB,Lenovo,225,Планшети,3,5.0,4.606830248242216,4.606830248242216,4.606830248242216,4.606830248242216,4.606830248242216,4.606830248242216
Lenovo Tab K11 Plus TB352FU Wi-Fi 8/256GB,Lenovo,225,Планшети,4,4.75,4.581545654565457,4.581545654565457,4.581545654565457,4.581545654565457,4.581545654565457,4.581545654565457
Lenovo Tab K11 Plus TB352XU LTE 8/256GB,Lenovo,225,Планшети,4,5.0,4.623212321232123,4.623212321232123,4.571520895257256,4.4912615301548335,4.311990494853759,4.283212321232123
Lenovo Tab M11 8/128Gb WiFi,Lenovo,225,Планшети,1,5.0,4.569385509979569,4.569385509979569,4.569385509979569,4.569385509979569,4.569385509979569,4.569385509979569
Lenovo Tab One Wi-Fi 4/128GB,Lenovo,225,Планшети,27,4.703703703703703,4.637385015097254,4.637385015097254,4.545133513685591,4.400481896890064,4.055855166285734,3.6720021520599717
Lenovo Tab Plus Wi-Fi 8/256GB,Lenovo,225,Планшети,14,4.714285714285714,4.6163851679285575,4.6163851679285575,4.50925368615314,4.349775122307253,3.9899730227631505,3.6720486661605554
Lenovo Tab Wi-Fi 8/128GB,Lenovo,225,Планшети,1,5.0,4.569385509979569,4.569385509979569,4.569385509979569,4.569385509979569,4.569385509979569,4.569385509979569
Lenovo Yoga Tab 11 Wi-Fi 12/256GB,Lenovo,225,Планшети,1,3.0,4.474147414741474,4.474147414741474,4.474147414741474,4.474147414741474,4.474147414741474,4.474147414741474
Lenovo Yoga Tab 11 Wi-Fi 8/256GB,Lenovo,225,Планшети,2,2.0,4.316231623162317,4.316231623162317,4.273360684660865,4.224335754762554,4.14469559476184,4.155954086093366
Lenovo Yoga Tab Plus Wi-Fi 16/256GB,Lenovo,225,Планшети,2,5.0,4.588958895889589,4.588958895889589,4.588958895889589,4.588958895889589,4.588958895889589,4.588958895889589
Marshall Emberton Black (1001908),Marshall,76,Портативні колонки,6,3.8333333333333335,4.36034879005002,4.36034879005002,4.263618114967082,4.127812347988457,3.8559989785275284,3.8368845459847596
Marshall Willen Black and Brass (1006059),Marshall,76,Портативні колонки,29,4.241379310344827,4.354470786557154,4.354470786557154,4.151865731124877,3.8642168513524933,3.3116434698533634,2.7329930011093717
Marstek Venus-E / 2500 Вт / 5120 Вт⋅год / LiFePO4,Marstek,4,Зарядні станції,15,4.2,4.400848847303945,4.400848847303945,4.331260971791532,4.219965478162183,3.93516857490214,3.614562686974307
Maxcom MM244,Maxcom,314,Смартфони,1,5.0,4.50089326636174,4.50089326636174,4.50089326636174,4.50089326636174,4.50089326636174,4.50089326636174
